Código del bien o servicio;Descripción del bien o servicio;Impuesto
9310211030616;Reparación de vulva;4%
9310211030617;Reparación de vulva utilizando injerto u otro material sintético;4%
9310211030701;Recolección de muestras de placenta para análisis;4%
9310211030702;Muestra de vellosidades coriónicas;4%
9310211030703;Amniocentesis;4%
9310211030704;Exploración placentaria;4%
9310211030705;Ultrasonido de placenta;4%
9310211030706;Inyección o infusión en amnios;4%
9310211030707;Inducción quirúrgica del parto;4%
9310211030708;Destrucción endoscópica de vasos de placenta;4%
9310211030709;Drenaje del saco amniótico para disminuir el volumen de líquido, abordaje transcervical;4%
9310211030710;Drenaje percutáneo del saco amniótico para disminuir el volumen del líquido;4%
9310211030711;Drenaje del saco amniótico para disminuir el volumen de líquido, n.c.p.;4%
9310211030712;Extracción manual de la placenta retenida;4%
9310211030713;Obtención de sangre del cordón umbilical;4%
9310211030714;Extirpación del cordón umbilical;4%
9310211030715;Sujeción del cordón umbilical;4%
9310211030716;Sustitución del cordón umbilical prolapso;4%
9310211030717;Fórceps fallidos o extracción al vacío;4%
9310211030801;Evaluación ecográfica para detección de anomalías fetales;4%
9310211030802;Valoración de la estructura fetal o embrionaria;4%
9310211030803;Ultrasonido para la medición del crecimiento fetal;4%
9310211030804;Biopsia de estructuras fetales;4%
9310211030805;Inspección transabdominal de estructuras fetales;4%
9310211030806;Inspección transcervical de estructuras fetales;4%
9310211030807;Inspección ecográfica de estructuras fetales;4%
9310211030808;Muestreo vaginal de líquido amniótico;4%
9310211030809;Monitorización fetal interna;4%
9310211030810;Monitorización ecográfica de la estructura fetal;4%
9310211030811;Ultrasonido de la estructura fetal;4%
9310211030812;Inyección en feto o estructura embrionaria;4%
9310211030813;Infusión fetal;4%
9310211030814;Extirpación del embarazo ectópico;4%
9310211030815;Extirpación laparoscópica del embarazo ectópico;4%
9310211030816;Rotación del feto;4%
9310211030817;Versión externa del feto;4%
9310211030901;Evaluación del sistema genital femenino, n.c.p.;4%
9310211030902;Examen ginecológico interno;4%
9310211030903;Examen ginecológico;4%
9310211030904;Muestreo diagnóstico del sistema genital femenino;4%
9310211030905;Radiografía de los órganos genitales femeninos;4%
9310211030906;Ultrasonido del tracto genital femenino, n.c.p.;4%
9310211030907;Extracción de cuerpo extraño del tracto genital femenino, n.c.p.;4%
9310211040101;Evaluación de funciones genitourinarias y reproductivas;4%
9310211040102;Prueba de funciones genitourinarias y reproductivas;4%
9310211040103;Observación de funciones genitourinarias y reproductivas;4%
9310211040104;Asistir y liderar ejercicios para funciones genitourinarias y reproductivas;4%
9310211040105;Entrenamiento de funciones genitourinarias y reproductivas;4%
9310211040106;Educación sobre funciones genitourinarias y reproductivas;4%
9310211040107;Asesoramiento sobre funciones genitourinarias y reproductivas;4%
9310211040108;Consejería para funciones genitourinarias y reproductivas;4%
9310211040109;Psicoterapia para funciones genitourinarias y reproductivas;4%
9310211040110;Apoyo práctico con funciones genitourinarias y reproductivas;4%
9310211040111;Apoyo emocional para funciones genitourinarias y reproductivas;4%
9310211040201;Valoración de las funciones excretorias urinarias;4%
9310211040202;Medición de las funciones excretadoras urinarias;4%
9310211040301;Evaluación de las funciones de micción;4%
9310211040302;Observación de la función de micción;4%
9310211040303;Ayudar y dirigir el ejercicio para las funciones de micción;4%
9310211040304;Entrenamiento para funciones de micción;4%
9310211040305;Asesoramiento sobre las funciones de micción;4%
9310211040306;Otras intervenciones sobre la función de la micción, n.c.p.;4%
9310211050101;Evaluación de la función sexual;4%
9310211050102;Entrenamiento para la función sexual;4%
9310211050103;Educación sobre la función sexual;4%
9310211050104;Asesoramiento sobre la función sexual;4%
9310211050105;Consejería para la función sexual;4%
9310211050106;Psicoterapia para la función sexual;4%
9310211050201;Evaluación de las funciones de la menstruación;4%
9310211050202;Educación sobre la menstruación;4%
9310211050301;Evaluación de las funciones de procreación;4%
9310211050302;Entrenamiento para funciones de procreación;4%
9310211050303;Educación sobre las funciones de procreación;4%
9310211050304;Apoyo emocional para funciones de procreación;4%
9310211050401;Educación de fertilidad;4%
9310211050402;Asesoramiento sobre funciones relacionadas con la fertilidad;4%
9310211050403;Consejería de fertilidad;4%
9310211050404;Otras intervenciones sobre funciones relacionadas con la fertilidad, n.c.p.;4%
9310211050501;Ayudar o liderar ejercicio para funciones relacionadas con el embarazo;4%
9310211050502;Educación prenatal o postnatal;4%
9310211050503;Otras intervenciones sobre funciones relacionadas con el embarazo, n.c.p.;4%
9310211060101;Evaluación del sistema urogenital, n.c.p.;4%
9310211060102;Otras mediciones del sistema genitourinario no operatorio;4%
9310211060103;Otras intervenciones en el sistema urogenital, n.c.p.;4%
9310211990000;Intervenciones sobre el sistema genitourinario, n.c.p.;4%
9310212010101;Medida corporal del tronco;4%
9310212010102;Acupresión para tronco, n.c.p.;4%
9310212010201;Medición de cabeza o cuello;4%
9310212010202;Tomografía computarizada de cabeza o cuello, n.c.p.;4%
9310212010203;Tomografía computarizada de cabeza o cuello con contraste intravenoso;4%
9310212010204;Imágenes de resonancia magnética de cabeza o cuello, n.c.p.;4%
9310212010205;Ultrasonido de cabeza o cuello;4%
9310212010206;Acupresión a cabeza o cuello;4%
9310212010301;Medida del pecho;4%
9310212010302;Tomografía computarizada del tórax, n.c.p.;4%
9310212010303;Tomografía computarizada del tórax con contraste intravenoso;4%
9310212010304;Imágenes de resonancia magnética del tórax, n.c.p.;4%
9310212010305;Imagen de resonancia magnética del tórax con contraste intravenoso;4%
9310212010306;Acupresión al tórax, n.c.p.;4%
9310212010401;Biopsia de pared torácica, n.c.p.;4%
9310212010402;Drenaje de pared torácica, n.c.p.;4%
9310212010403;Escisión local de la pared torácica, n.c.p.;4%
9310212010404;Escisión local toracoscópica de pared torácica, n.c.p.;4%
9310212010405;Escisión parcial de la pared torácica, n.c.p.;4%
9310212010406;Reparación de pared torácica, n.c.p.;4%
9310212010407;Reparación toracoscópica de pared torácica, n.c.p.;4%
9310212010501;Medición del abdomen;4%
9310212010502;Laparotomía exploratoria;4%
9310212010503;Laparoscopía;4%
9310212010504;Otras radiografías de abdomen;4%
9310212010505;Radiografía de contraste pélvico;4%
9310212010506;Tomografía computarizada de abdomen, n.c.p.;4%
9310212010507;Tomografía computarizada de abdomen con contraste intravenoso;4%
9310212010508;Imágenes de resonancia magnética del abdomen, n.c.p.;4%
9310212010509;Imagen de resonancia magnética del abdomen con contraste intravenoso;4%
9310212010510;Ultrasonido de abdomen y retroperitoneo;4%
9310212010511;Laparotomía;4%
9310212010512;Drenaje abdominal;4%
9310212010513;Drenaje abdominal laparoscópico;4%
9310212010514;Drenaje abdominal transrectal;4%
9310212010515;Drenaje abdominal percutáneo;4%
9310212010516;Extracción de cuerpo extraño del abdomen;4%
9310212010517;Laparostomía;4%
9310212010601;Biopsia percutánea de la pared abdominal;4%
9310212010602;Radiografía de tejidos blandos de la pared abdominal;4%
9310212010603;Reapertura del sitio de laparotomía reciente;4%
9310212010604;Incisión de hematoma en sitio de laparotomía reciente;4%
9310212010605;Eliminación de suturas de la pared abdominal;4%
9310212010606;Desbridamiento de la pared abdominal;4%
9310212010607;Reparación de la pared abdominal;4%
9310212010608;Reparación laparoscópica de la pared abdominal;4%
9310212010609;Reducción manual de la pared abdominal, n.c.p.;4%
9310212010610;Reparación de pared abdominal, n.c.p.;4%
9310212010611;Reparación de pared abdominal con injerto o prótesis;4%
9310212010612;Reparación laparoscópica de pared abdominal con injerto o prótesis;4%
9310212010701;Reparación de hernia inguinal;4%
9310212010702;Reparación laparoscópica de la hernia inguinal;4%
9310212010703;Reducción manual de la hernia inguinal;4%
9310212010704;Reparación de hernia inguinal con injerto o prótesis;4%
9310212010705;Reparación laparoscópica de la hernia inguinal con injerto o prótesis;4%
9310212010801;Reparación de hernia femoral;4%
9310212010802;Reparación laparoscópica de la hernia femoral;4%
9310212010803;Reducción manual de la hernia femoral;4%
9310212010804;Reparación de hernia femoral con injerto o prótesis;4%
9310212010805;Reparación laparoscópica de la hernia femoral con injerto o prótesis;4%
9310212010901;Biopsia de pared abdominal o ombligo;4%
9310212010902;Escisión de granuloma umbilical;4%
9310212010903;Reparación de hernia umbilical;4%
9310212010904;Reparación laparoscópica de la hernia umbilical;4%
9310212010905;Reducción manual de la hernia umbilical;4%
9310212010906;Reparación de hernia umbilical con injerto o prótesis;4%
9310212010907;Reparación laparoscópica de hernia umbilical con injerto o prótesis;4%
9310212011001;Medición del perineo;4%
9310212011002;Perineograma;4%
9310212011003;Episiotomía;4%
9310212011004;Desbridamiento del perineo;4%
9310212011005;Escisión local de lesión del perineo;4%
9310212011006;Reparación de perineo;4%
9310212011007;Estimulación del suelo pélvico;4%
9310212020101;Medida corporal de extremidad superior;4%
9310212020102;Tomografía computarizada de extremidad superior, n.c.p.;4%
9310212020103;Tomografía computarizada de extremidad superior con contraste intravenoso;4%
9310212020104;Imágenes de resonancia magnética de extremidades superiores, n.c.p.;4%
9310212020105;Imagen de resonancia magnética de la extremidad superior con contraste intravenoso;4%
9310212020106;Entrenamiento en el uso de ortesis de extremidad superior;4%
9310212020107;Acupresión para extremidad superior, n.c.p.;4%
9310212020108;Hidroterapia con inmersión parcial de extremidades superiores, con fines terapéuticos;4%
9310212020201;Acupresión para la parte superior del brazo;4%
9310212020301;Acupresión al antebrazo;4%
9310212020401;Retiro de cuerpo extraño de la mano, n.c.p.;4%
9310212020402;Extracción de dispositivo externo, aparato o cuerpo extraño de la mano, n.c.p.;4%
9310212020403;Reasignación de mano, n.c.p.;4%
9310212020404;Otras reparaciones de mano, n.c.p.;4%
9310212020405;Acupresión a mano;4%
9310212020501;Extracción de cuerpo extraño de un dedo, n.c.p.;4%
9310212020502;Retiro de dispositivo externo, aparato o cuerpo extraño del dedo, n.c.p.;4%
9310212020503;Ligadura del dedo supernumerario;4%
9310212020504;Recopilación del dedo, n.c.p.;4%
9310212020505;Transferencia de dedo;4%
9310212020506;Otra reparación de dedo, n.c.p.;4%
9310212020507;Reconstrucción de dedo;4%
9310212020508;Acupresión a dedo;4%
9310212030101;Medida corporal de extremidad inferior;4%
9310212030102;Radiografía de extremidad inferior, n.c.p.;4%
9310212030103;Tomografía computarizada de extremidad inferior, n.c.p.;4%
9310212030104;Tomografía computarizada de extremidad inferior con contraste intravenoso;4%
9310212030105;Imágenes de resonancia magnética de extremidades inferiores, n.c.p.;4%
9310212030106;Imagen de resonancia magnética de la extremidad inferior con contraste intravenoso;4%
9310212030107;Sutura de cápsula o ligamento de otra extremidad inferior;4%
9310212030108;Acupresión para extremidad inferior, n.c.p.;4%
9310212030109;Hidroterapia con inmersión parcial de extremidades inferiores, con fines terapéuticos;4%
9310212030201;Acupresión al muslo;4%
9310212030301;Acupresión en la parte inferior de la pierna, n.c.p.;4%
9310212030401;Colección de sangre del talón;4%
9310212030402;Extracción de cuerpo extraño del pie, n.c.p.;4%
9310212030403;Retiro de dispositivo externo, aparato o cuerpo extraño del pie, n.c.p.;4%
9310212030404;Acupresión a pie;4%
9310212030501;Extracción de cuerpo extraño de la falange del pie, n.c.p.;4%
9310212030502;Extracción de dispositivo externo o cuerpo extraño de la falange del pie, n.c.p.;4%
9310212030503;Amputación de dedo del pie, n.c.p.;4%
9310212030504;Aplicación de dispositivo de inmovilización externo, falange de pie;4%
9310212030505;Otras reparaciones de dedos, n.c.p.;4%
9310212030506;Reconstrucción del dedo del pie;4%
9310212030507;Acupresión a los pies;4%
9310212040101;Bypass cardiopulmonar abierto;4%
9310212040102;Bypass cardiopulmonar;4%
9310212040103;Adquisición de corazón y pulmón;4%
9310212040104;Trasplante corazón-pulmón;4%
9310212040201;Laparoscopía pélvica femenina;4%
9310212050101;Evaluación de la gastrostomía;4%
9310212050102;Irrigación de gastrostomía;4%
9310212050103;Cierre de gastrostomía;4%
9310212050104;Educación gastrostomica;4%
9310212050201;Evaluación de la enterostomía;4%
9310212050202;Irrigación de enterostomía;4%
9310212050203;Cierre de enterostomía;4%
9310212050204;Educación enterostomía;4%
9310212050301;Evaluación de la traqueotomía;4%
9310212050302;Cierre de la traqueotomía;4%
9310212050303;Educación traqueotomía;4%
9310212050401;Evaluación del estoma;4%
9310212050402;Irrigación de otro estoma;4%
9310212050403;Entrenamiento para el cuidado del estoma;4%
9310212050404;Educación estoma;4%
9310212050405;Otros cuidados del estoma, n.c.p.;4%
9310212060101;Consejería genético;4%
9310212070101;Medida de cuerpo entero;4%
9310212070102;Prueba de provocación de alimentos;4%
9310212070103;Prueba de provocación, n.c.p.;4%
9310212070104;Autopsia;13%
9310212070105;Examen físico, cuerpo entero;4%
9310212070106;Emisión computarizada de fotón único de cuerpo entero;4%
9310212070107;Tomografía por emisión de positrones de todo el cuerpo;4%
9310212070108;Administración intracavitaria de sustancia nutricional;4%
9310212070109;Administración intravenosa de sustancia nutricional;4%
